,state_num,kernel_id,modularity,average_degree,average_clustering,nodes_count,edges_count
0,0,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.0,1.0,0.0,2,1
1,1,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.30000000000000004,1.6666666666666667,0.0,6,5
2,2,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4012345679012345,2.0,0.0,9,9
3,3,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.48816568047337283,2.0,0.0,13,13
4,4,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4955555555555555,2.4285714285714284,0.0,14,17
5,5,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.5,2.625,0.0,16,21
6,6,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,3.25,0.0,16,26
7,7,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,3.875,0.0,16,31
8,8,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,4.25,0.0,16,34
9,9,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,4.75,0.0,16,38
10,10,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,5.375,0.0,16,43
11,11,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,5.875,0.0,16,47
12,12,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.4799382716049381,6.5,0.0,16,52
13,13,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.53375,7.0,0.14583333333333331,16,56
14,14,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.53375,7.5,0.14583333333333331,16,60
15,15,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.53375,7.875,0.14583333333333331,16,63
16,16,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,8.375,0.13541666666666669,16,67
17,17,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,8.75,0.13541666666666669,16,70
18,18,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,9.25,0.13541666666666669,16,74
19,19,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,9.625,0.13541666666666669,16,77
20,20,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,10.125,0.13541666666666669,16,81
21,21,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,10.75,0.13541666666666669,16,86
22,22,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,11.25,0.13541666666666669,16,90
23,23,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,11.875,0.13541666666666669,16,95
24,24,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,12.25,0.13541666666666669,16,98
25,25,0033f76c-6179-4fb4-a9ce-79112a52b51c,0.46825396825396826,12.75,0.13541666666666669,16,102
