,action_id,cell_label
0,0,
1,1,helper_functions
2,2,helper_functions
3,3,helper_functions
4,4,helper_functions
5,5,helper_functions
6,6,helper_functions
7,7,
8,8,helper_functions
9,9,
10,10,helper_functions
11,11,helper_functions
12,12,helper_functions
13,13,
14,14,
15,15,helper_functions
16,16,helper_functions
17,17,helper_functions
18,18,
19,19,helper_functions
20,20,helper_functions
21,21,comment_only
22,23,helper_functions
23,22,
24,24,helper_functions
25,25,
26,26,helper_functions
27,27,
28,28,
29,29,
30,30,
31,31,
32,32,
33,33,
34,34,
35,35,
36,36,
37,37,
38,38,
39,39,
40,40,
41,41,
42,42,
43,43,
44,44,
45,45,
46,46,
47,47,
48,48,
49,49,
50,50,
51,51,
52,52,
53,53,
54,54,
55,55,
56,56,
57,57,
58,58,
59,59,
60,60,helper_functions
61,61,comment_only
62,62,helper_functions
63,63,helper_functions
64,64,helper_functions
65,65,comment_only
66,66,helper_functions
67,67,load_data
68,68,load_data
69,69,load_data
70,70,load_data
71,71,helper_functions
72,72,helper_functions
73,73,helper_functions
74,74,helper_functions
75,75,
76,76,
77,77,comment_only
78,78,
79,79,
80,80,comment_only
81,81,comment_only
82,82,helper_functions
83,83,comment_only
84,84,helper_functions
85,85,comment_only
86,86,comment_only
87,87,comment_only
88,88,comment_only
89,89,helper_functions
90,90,comment_only
91,92,helper_functions
92,91,
93,93,comment_only
94,94,load_data
95,95,load_data
96,96,load_data
97,97,load_data
98,98,comment_only
99,99,comment_only
100,100,helper_functions
101,101,comment_only
102,102,
103,104,
104,103,comment_only
105,105,helper_functions
106,106,
107,107,helper_functions
108,108,
109,109,helper_functions
110,110,helper_functions
111,111,helper_functions
112,112,comment_only
113,113,comment_only
114,114,comment_only
115,115,comment_only
116,116,comment_only
117,117,comment_only
118,118,comment_only
119,119,comment_only
120,120,comment_only
121,121,comment_only
122,122,comment_only
123,123,comment_only
124,124,helper_functions
125,125,
126,126,helper_functions
127,127,helper_functions
128,128,comment_only
129,129,helper_functions
130,130,helper_functions
131,131,comment_only
132,132,comment_only
133,133,
134,134,helper_functions
135,135,comment_only
136,136,comment_only
137,137,
138,138,
139,139,
140,140,
141,141,helper_functions
142,142,helper_functions
143,143,
144,144,
145,145,comment_only
146,146,comment_only
147,147,data_exploration
148,148,comment_only
149,149,data_exploration
150,150,
151,151,
152,152,comment_only
153,153,comment_only
154,154,comment_only
155,155,comment_only
156,156,comment_only
157,157,comment_only
158,158,comment_only
159,159,
160,160,
161,161,helper_functions
162,162,comment_only
163,163,helper_functions
164,164,
165,165,helper_functions
166,166,comment_only
167,167,helper_functions
168,168,data_exploration
169,169,data_exploration
170,170,
171,171,
172,172,
173,173,
174,174,
175,175,
176,176,comment_only
177,177,comment_only
178,178,comment_only
179,179,comment_only
180,180,comment_only
181,181,helper_functions
182,182,helper_functions
183,183,data_preprocessing
184,184,data_preprocessing
185,185,data_preprocessing
186,186,helper_functions
187,187,comment_only
188,188,helper_functions
189,189,helper_functions
190,190,
191,191,helper_functions
192,192,helper_functions
193,193,data_preprocessing
194,194,data_preprocessing
195,195,helper_functions
196,196,comment_only
197,197,comment_only
198,198,
199,199,comment_only
200,200,comment_only
201,201,helper_functions
202,202,data_preprocessing
203,203,data_preprocessing
204,204,helper_functions
205,205,helper_functions
206,206,helper_functions
207,207,
208,208,
209,209,data_preprocessing
210,210,data_preprocessing
211,211,comment_only
212,212,data_preprocessing
213,213,data_preprocessing
214,214,data_exploration
215,215,data_exploration
216,216,data_preprocessing
217,217,data_preprocessing
218,218,load_data
219,219,load_data
220,220,comment_only
221,221,data_preprocessing
222,222,data_preprocessing
223,223,data_preprocessing
224,224,data_preprocessing
225,225,load_data
226,226,load_data
227,227,load_data
228,228,comment_only
229,230,load_data
230,229,
231,231,comment_only
232,232,load_data
233,233,load_data
234,234,
235,235,
236,236,
237,237,comment_only
238,238,data_exploration
239,239,data_exploration
240,240,comment_only
241,241,comment_only
242,242,
243,243,
244,244,comment_only
245,245,comment_only
246,246,
247,247,
248,248,comment_only
249,249,comment_only
250,250,load_data
251,252,load_data
252,251,comment_only
253,253,
254,254,
255,255,
256,256,
257,257,comment_only
258,258,comment_only
259,259,
260,260,
261,261,
262,262,
263,263,comment_only
264,264,comment_only
265,265,helper_functions
266,266,
267,267,helper_functions
268,268,
269,269,
270,270,comment_only
271,271,comment_only
272,272,helper_functions
273,273,
274,274,helper_functions
275,275,
276,276,
277,277,
278,278,
279,279,comment_only
280,280,comment_only
281,281,comment_only
282,282,comment_only
283,283,comment_only
284,284,comment_only
285,285,comment_only
286,286,comment_only
287,287,
288,288,
289,289,
290,290,comment_only
291,291,
292,292,data_exploration
293,293,data_exploration
294,294,comment_only
295,295,
296,296,comment_only
297,297,comment_only
298,298,
299,299,comment_only
300,300,comment_only
301,301,
302,302,comment_only
303,303,comment_only
304,304,comment_only
305,305,comment_only
306,306,comment_only
307,307,
308,308,comment_only
309,309,comment_only
310,310,comment_only
311,311,comment_only
312,312,data_preprocessing
313,313,data_preprocessing
314,314,comment_only
315,315,
316,316,comment_only
317,317,data_preprocessing
318,318,data_preprocessing
319,319,comment_only
320,321,comment_only
321,320,data_exploration
322,322,comment_only
323,323,comment_only
324,324,comment_only
325,325,comment_only
326,326,comment_only
327,327,data_preprocessing
328,328,data_preprocessing
329,329,comment_only
330,330,comment_only
331,331,data_preprocessing
332,332,data_preprocessing
333,333,comment_only
334,334,comment_only
335,335,helper_functions
336,336,helper_functions
337,337,
338,338,data_preprocessing
339,339,data_preprocessing
340,340,data_preprocessing
341,341,comment_only
342,342,comment_only
343,343,data_preprocessing
344,344,data_preprocessing
345,345,comment_only
346,346,comment_only
347,347,comment_only
348,348,comment_only
349,349,comment_only
350,350,comment_only
351,351,comment_only
352,352,
353,353,comment_only
354,354,helper_functions
355,355,data_exploration
356,356,data_exploration
357,357,helper_functions
358,358,data_exploration
359,359,data_preprocessing
360,360,data_exploration
361,361,data_exploration
362,362,data_exploration
363,363,data_exploration
364,364,data_exploration
365,365,data_preprocessing
366,366,
367,367,data_preprocessing
368,368,data_preprocessing
369,369,data_preprocessing
370,370,comment_only
371,371,comment_only
372,372,data_exploration
373,373,data_preprocessing
374,374,data_preprocessing
375,375,comment_only
376,376,comment_only
377,377,data_exploration
378,378,data_exploration
379,379,data_exploration
380,380,data_exploration
381,381,data_exploration
382,382,data_exploration
383,383,comment_only
384,384,load_data
385,385,load_data
386,386,
387,387,load_data
388,388,load_data
389,389,data_preprocessing
390,390,data_preprocessing
391,391,load_data
392,392,load_data
393,393,comment_only
394,394,comment_only
395,395,comment_only
396,396,data_exploration
397,397,load_data
398,398,comment_only
399,399,load_data
400,400,comment_only
401,401,load_data
402,403,comment_only
403,402,load_data
404,404,load_data
405,405,load_data
406,406,data_exploration
407,407,data_exploration
408,408,comment_only
409,409,data_exploration
410,410,load_data
411,411,data_exploration
412,412,load_data
413,413,data_exploration
414,414,
415,415,data_exploration
416,416,data_exploration
417,417,load_data
418,418,comment_only
419,419,data_preprocessing
420,420,data_preprocessing
421,421,comment_only
422,422,comment_only
423,423,data_preprocessing
424,425,data_exploration
425,424,data_preprocessing
426,426,
427,427,data_exploration
428,428,
429,429,data_preprocessing
430,430,data_preprocessing
431,431,data_preprocessing
432,432,data_preprocessing
433,433,comment_only
434,434,comment_only
435,435,load_data
436,436,load_data
437,437,data_preprocessing
438,438,data_preprocessing
439,439,comment_only
440,440,comment_only
441,441,comment_only
442,442,load_data
443,443,load_data
444,444,data_preprocessing
445,445,data_preprocessing
446,446,data_preprocessing
447,448,data_preprocessing
448,447,
449,449,data_preprocessing
450,450,data_preprocessing
451,451,data_preprocessing
452,452,data_preprocessing
453,453,data_preprocessing
454,454,data_preprocessing
455,455,data_preprocessing
456,456,data_preprocessing
457,457,data_preprocessing
458,458,load_data
459,459,load_data
460,460,data_preprocessing
461,461,data_preprocessing
462,462,data_preprocessing
463,463,
464,464,data_preprocessing
465,465,load_data
466,466,load_data
467,467,data_preprocessing
468,468,data_preprocessing
469,469,data_preprocessing
470,471,data_preprocessing
471,470,
472,472,data_preprocessing
473,473,data_preprocessing
474,474,data_preprocessing
475,475,data_preprocessing
476,476,data_preprocessing
477,477,data_preprocessing
478,478,data_preprocessing
479,479,data_preprocessing
480,480,data_preprocessing
481,481,data_preprocessing
482,482,data_preprocessing
483,483,data_preprocessing
484,484,data_preprocessing
485,485,data_preprocessing
486,486,data_preprocessing
487,487,data_preprocessing
488,488,load_data
489,489,load_data
490,490,data_preprocessing
491,491,data_preprocessing
492,492,data_preprocessing
493,494,data_preprocessing
494,493,
495,495,data_preprocessing
496,496,data_preprocessing
497,497,data_preprocessing
498,498,data_preprocessing
499,499,load_data
500,500,load_data
501,501,data_preprocessing
502,502,data_preprocessing
503,503,data_preprocessing
504,504,
505,505,data_preprocessing
506,506,data_preprocessing
507,507,data_preprocessing
508,508,data_preprocessing
509,509,data_preprocessing
510,510,data_preprocessing
511,511,data_preprocessing
512,512,data_exploration
513,513,comment_only
514,514,data_exploration
515,515,comment_only
516,516,
517,517,
518,518,data_preprocessing
519,519,data_preprocessing
520,520,data_exploration
521,521,data_exploration
522,522,load_data
523,523,load_data
524,524,
525,525,
526,526,helper_functions
527,527,comment_only
528,528,data_preprocessing
529,529,comment_only
530,530,
531,531,data_preprocessing
532,532,helper_functions
533,533,data_exploration
534,534,comment_only
535,535,data_exploration
536,536,data_exploration
537,537,data_exploration
538,538,data_exploration
539,539,data_exploration
540,540,
541,541,
542,542,load_data
543,543,load_data
544,544,
545,545,
546,546,data_preprocessing
547,547,data_preprocessing
548,548,
549,549,data_exploration
550,550,data_exploration
551,551,
552,553,data_exploration
553,552,data_exploration
554,554,
555,555,data_exploration
556,556,data_exploration
557,557,
558,558,data_exploration
559,559,data_exploration
560,560,data_exploration
561,561,data_exploration
562,562,helper_functions
563,563,comment_only
564,564,helper_functions
565,565,data_exploration
566,566,data_exploration
567,567,data_exploration
568,568,data_exploration
569,569,
570,570,
571,571,
572,572,
573,573,
574,574,comment_only
575,575,
576,576,
577,577,comment_only
578,578,
579,579,
580,580,comment_only
581,581,
582,582,
583,583,comment_only
584,584,
585,585,helper_functions
586,586,
587,587,helper_functions
588,588,
589,589,
590,590,load_data
591,591,load_data
592,592,comment_only
593,593,data_exploration
594,594,data_exploration
595,595,data_exploration
596,596,load_data
597,597,load_data
598,598,helper_functions
599,599,comment_only
600,600,data_preprocessing
601,601,data_preprocessing
